open_time,open_price,high_price,low_price,close_price,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-08-17 16:55:00,27900.0,27962.83,27884.92000000,27937.35,257.99904000,2023-08-17 16:55:00,7202546.00117760,6324,153.50455000,4284922.37838420,0
2023-08-17 17:00:00,27937.36,27995.39,27936.65000000,27972.05,335.24987000,2023-08-17 17:00:00,9376868.53622530,6161,157.13672000,4394857.73605290,0
2023-08-17 17:05:00,27972.04,28040.0,27972.04000000,28035.61,255.60035000,2023-08-17 17:05:00,7160188.24857210,5230,171.51207000,4803816.58785500,0
2023-08-17 17:10:00,28035.61,28035.61,27976.98000000,27980.02,248.45657000,2023-08-17 17:10:00,6956002.08492390,3909,95.30217000,2668132.21830740,0
2023-08-17 17:15:00,27980.02,28040.0,27980.01000000,28030.0,160.61589000,2023-08-17 17:15:00,4499388.18158920,3678,93.45772000,2617899.61144700,0
2023-08-17 17:20:00,28030.0,28030.01,27998.34000000,28012.0,121.66105000,2023-08-17 17:20:00,3407734.95632510,3093,61.10038000,1711399.90142910,0
2023-08-17 17:25:00,28011.99,28012.0,27993.36000000,28005.99,113.32703000,2023-08-17 17:25:00,3173447.70749850,3363,62.44974000,1748671.84346870,0
2023-08-17 17:30:00,28006.0,28024.0,27999.20000000,28018.01,148.53271000,2023-08-17 17:30:00,4160780.78822960,3318,67.43158000,1888867.34855700,0
2023-08-17 17:35:00,28018.01,28030.14,28004.59000000,28030.14,97.90945000,2023-08-17 17:35:00,2742715.64468470,2490,69.56101000,1948543.35697480,0
2023-08-17 17:40:00,28030.14,28031.3,27969.70000000,27983.62,233.10765000,2023-08-17 17:40:00,6525987.75399760,3766,86.94475000,2433526.10947120,0
2023-08-17 17:45:00,27983.62,27987.82,27949.00000000,27967.0,165.95467000,2023-08-17 17:45:00,4641204.34811850,3571,70.13921000,1961564.03606500,0
