table_name,datetime,rows,environment,destination_source,symbol
streaming_data,2023-09-05 15:07:10,182,development,postgres,BTCUSDT
streaming_data,2023-09-05 15:08:46,182,development,postgres,BTCUSDT
streaming_data,2023-09-05 15:51:22,191,development,postgres,BTCUSDT
streaming_data,2023-09-05 15:52:54,953,development,postgres,BTCUSDT
streaming_data,2023-09-05 16:17:47,978,development,postgres,BTCUSDT
streaming_data,2023-09-05 16:22:50,983,development,postgres,BTCUSDT
streaming_data,2023-09-05 16:24:14,985,development,postgres,BTCUSDT
streaming_data,2023-09-05 16:24:53,985,development,postgres,BTCUSDT
streaming_data,2023-09-05 16:26:43,987,development,postgres,BTCUSDT
streaming_data,2023-09-05 16:28:26,989,development,postgres,BTCUSDT
streaming_data,2023-09-05 16:29:03,990,development,postgres,BTCUSDT
streaming_data,2023-09-05 16:29:19,990,development,postgres,BTCUSDT
streaming_data,2023-09-05 16:29:37,990,development,postgres,BTCUSDT
streaming_data,2023-09-05 18:33:30,1114,development,postgres,BTCUSDT
streaming_data,2023-09-05 18:34:29,1115,development,postgres,BTCUSDT
streaming_data,2023-09-05 19:03:42,1144,development,postgres,BTCUSDT
streaming_data,2023-09-05 19:03:57,1144,development,postgres,BTCUSDT
streaming_data,2023-09-05 19:08:32,1149,development,postgres,BTCUSDT
streaming_data,2023-09-05 19:13:39,1154,development,postgres,BTCUSDT
streaming_data,2023-09-05 19:14:16,1155,development,postgres,BTCUSDT
streaming_data,2023-09-05 19:14:52,1155,development,postgres,BTCUSDT
streaming_data,2023-09-05 19:27:13,1168,development,postgres,BTCUSDT
streaming_data,2023-09-05 19:27:29,1168,development,postgres,BTCUSDT
historical_data,2023-09-05 19:27:48,2210,development,postgres,BTCUSDT
historical_data,2023-09-05 19:59:19,2210,development,postgres,BTCUSDT
historical_data,2023-09-05 20:15:29,2211,development,postgres,BTCUSDT
historical_data,2023-09-05 20:16:09,2211,development,postgres,BTCUSDT
